portName;portCode;cityName;domestic;countryName;countryCode;depPortCode
Podgoritsa/TGD;TGD;Podgorica;False;Karadağ;ME;FRA
Doha - DOH;DOH;Doha;False;Katar;QA;FRA
Aktau;SCO;Aktau;False;Kazakistan;KZ;FRA
Almati;ALA;Almati;False;Kazakistan;KZ;FRA
Astana;NQZ;Nur Sultan Nazarbayev;False;Kazakistan;KZ;FRA
Çimkent;CIT;Şimkent;False;Kazakistan;KZ;FRA
Bişkek;FRU;Bişkek;False;Kırgızistan;KG;FRA
Oş;OSS;Oş;False;Kırgızistan;KG;FRA
Priştine;PRN;Priştine;False;Kosova;XK;FRA
Kuveyt;KWI;Kuveyt;False;Kuveyt;KW;FRA
Lefkoşa - Kuzey Kıbrıs;ECN;Ercan;False;Kuzey Kıbrıs Türk Cumhuriyeti;CP;FRA
Üsküp;SKP;Üsküp;False;Kuzey Makedonya;MK;FRA
Beyrut;BEY;Beyrut;False;Lübnan;LB;FRA
Hurgada;HRG;Hurghada;False;Mısır;EG;FRA
İskenderiye;HBE;İskenderiye;False;Mısır;EG;FRA
Kahire-SPX;SPX;Kahire;False;Mısır;EG;FRA
Şarm El-Şeyh;SSH;Şarm El Şeyh;False;Mısır;EG;FRA
Kişinev;RMO;Kishinev;False;Moldova;MD;FRA
Karachi;KHI;Karaçi Jinnah;False;Pakistan;PK;FRA
Bükreş-Otopeni;OTP;Bükreş - Henri Coanda;False;Romanya;RO;FRA
Kazan;KZN;Kazan;False;Rusya;RU;FRA
Moskova-Vnukovo;VKO;Moskova;False;Rusya;RU;FRA
St.Petersburg;LED;St.Petersburg Pulkovo;False;Rusya;RU;FRA
Cidde;JED;JEDDAH;False;Suudi Arabistan;SA;FRA
Dammam;DMM;Dammam King Fahd;False;Suudi Arabistan;SA;FRA
Medine;MED;Prince Mohammad Bin Abdulaziz - Medine;False;Suudi Arabistan;SA;FRA
Riyad;RUH;Riyad - Kral Halid;False;Suudi Arabistan;SA;FRA
Adana;ADA;Adana;True;Türkiye;TR;FRA
Adıyaman;ADF;Adıyaman;True;Türkiye;TR;FRA
Alanya-Gazipaşa;GZP;Gazipaşa;True;Türkiye;TR;FRA
Amasya - Merzifon;MZH;Amasya Merzifon;True;Türkiye;TR;FRA
Ankara;ESB;Ankara Esenboğa;True;Türkiye;TR;FRA
Antalya;AYT;Antalya;True;Türkiye;TR;FRA
Balıkesir-Edremit;EDO;Balıkesir - Edremit;True;Türkiye;TR;FRA
Bingöl;BGG;Bingöl;True;Türkiye;TR;FRA
Dalaman;DLM;Dalaman;True;Türkiye;TR;FRA
Denizli;DNZ;Denizli;True;Türkiye;TR;FRA
Diyarbakır;DIY;Diyarbakır;True;Türkiye;TR;FRA
Elazığ;EZS;Elazığ;True;Türkiye;TR;FRA
Erzincan;ERC;Erzincan;True;Türkiye;TR;FRA
Erzurum;ERZ;Erzurum;True;Türkiye;TR;FRA
Gaziantep;GZT;Gaziantep;True;Türkiye;TR;FRA
Iğdır;IGD;Iğdır Şehit Bülent Aydın;True;Türkiye;TR;FRA
İstanbul - Sabiha Gokcen;SAW;Istanbul - Sabiha Gökçen;True;Türkiye;TR;FRA
İzmir;ADB;İzmir Adnan Menderes;True;Türkiye;TR;FRA
Kars;KSY;Kars;True;Türkiye;TR;FRA
Kayseri;ASR;Kayseri;True;Türkiye;TR;FRA
Konya;KYA;Konya;True;Türkiye;TR;FRA
Malatya;MLX;Malatya;True;Türkiye;TR;FRA
Mardin;MQM;Mardin;True;Türkiye;TR;FRA
Muğla - Milas Bodrum;BJV;Milas - Bodrum;True;Türkiye;TR;FRA
Muş;MSR;Muş;True;Türkiye;TR;FRA
Ordu-Giresun;OGU;Ordu;True;Türkiye;TR;FRA
Rize - Artvin;RZV;Rize Artvin;True;Türkiye;TR;FRA
Samsun;SZF;Samsun;True;Türkiye;TR;FRA
Sivas;VAS;Sivas;True;Türkiye;TR;FRA
Şanlıurfa;GNY;Şanlıurfa;True;Türkiye;TR;FRA
Trabzon;TZX;Trabzon;True;Türkiye;TR;FRA
Van;VAN;Van;True;Türkiye;TR;FRA
Maskat;MCT;Maskat;False;Umman;OM;FRA
Amman;AMM;Amman Kraliçe Aliye;False;Ürdün;JO;FRA
Atina;ATH;Atina;False;Yunanistan;GR;FRA
Tiran;TIA;Tiran - Rinas;False;Arnavutluk;AL;HAM
Bakü;GYD;Bakü - Haydar Aliyev;False;Azerbaycan;AZ;HAM
Bahreyn;BAH;Bahreyn;False;Bahreyn Krallığı;BH;HAM
Abudhabi;AUH;Abu Dabi;False;Birleşik Arap Emirlikleri;AE;HAM
Dubai;DXB;Dubai;False;Birleşik Arap Emirlikleri;AE;HAM
Şarjah;SHJ;ŞARİKA - Sharjah;False;Birleşik Arap Emirlikleri;AE;HAM
Saraybosna;SJJ;Saraybosna;False;Bosna-Hersek;BA;HAM
Sofya;SOF;Sofya;False;Bulgaristan;BG;HAM
Erivan;EVN;Zvartnots Uluslararası;False;Ermenistan;AM;HAM
Kazablanka;CMN;Kazablanka Muhammed V;False;Fas;MA;HAM
Kutaisi;KUT;Kutaisi;False;Gürcistan;GE;HAM
Tiflis;TBS;Tiflis;False;Gürcistan;GE;HAM
Bağdat;BGW;Bağdat;False;Irak;IQ;HAM
Basra;BSR;Basra;False;Irak;IQ;HAM
Erbil;EBL;Erbil;False;Irak;IQ;HAM
Meşhed;MHD;Mashad;False;İran;IR;HAM
Tabriz;TBZ;Tebriz;False;İran;IR;HAM
Tahran - IKA;IKA;Tahran;False;İran;IR;HAM
Podgoritsa/TGD;TGD;Podgorica;False;Karadağ;ME;HAM
Doha - DOH;DOH;Doha;False;Katar;QA;HAM
Aktau;SCO;Aktau;False;Kazakistan;KZ;HAM
Almati;ALA;Almati;False;Kazakistan;KZ;HAM
Astana;NQZ;Nur Sultan Nazarbayev;False;Kazakistan;KZ;HAM
Çimkent;CIT;Şimkent;False;Kazakistan;KZ;HAM
Bişkek;FRU;Bişkek;False;Kırgızistan;KG;HAM
Oş;OSS;Oş;False;Kırgızistan;KG;HAM
Priştine;PRN;Priştine;False;Kosova;XK;HAM
Kuveyt;KWI;Kuveyt;False;Kuveyt;KW;HAM
Lefkoşa - Kuzey Kıbrıs;ECN;Ercan;False;Kuzey Kıbrıs Türk Cumhuriyeti;CP;HAM
Üsküp;SKP;Üsküp;False;Kuzey Makedonya;MK;HAM
Beyrut;BEY;Beyrut;False;Lübnan;LB;HAM
Hurgada;HRG;Hurghada;False;Mısır;EG;HAM
İskenderiye;HBE;İskenderiye;False;Mısır;EG;HAM
Kahire-CAI-Nile Air;CAI;Kahire;False;Mısır;EG;HAM
Kahire-SPX;SPX;Kahire;False;Mısır;EG;HAM
Şarm El-Şeyh;SSH;Şarm El Şeyh;False;Mısır;EG;HAM
Kişinev;RMO;Kishinev;False;Moldova;MD;HAM
Karachi;KHI;Karaçi Jinnah;False;Pakistan;PK;HAM
Varşova;WAW;Varşova;False;Polonya;PL;HAM
Bükreş-Otopeni;OTP;Bükreş - Henri Coanda;False;Romanya;RO;HAM
Kazan;KZN;Kazan;False;Rusya;RU;HAM
Moskova-Vnukovo;VKO;Moskova;False;Rusya;RU;HAM
St.Petersburg;LED;St.Petersburg Pulkovo;False;Rusya;RU;HAM
Cidde;JED;JEDDAH;False;Suudi Arabistan;SA;HAM
Dammam;DMM;Dammam King Fahd;False;Suudi Arabistan;SA;HAM
Medine;MED;Prince Mohammad Bin Abdulaziz - Medine;False;Suudi Arabistan;SA;HAM
Riyad;RUH;Riyad - Kral Halid;False;Suudi Arabistan;SA;HAM
Adana;ADA;Adana;True;Türkiye;TR;HAM
Alanya-Gazipaşa;GZP;Gazipaşa;True;Türkiye;TR;HAM
Amasya - Merzifon;MZH;Amasya Merzifon;True;Türkiye;TR;HAM
Ankara;ESB;Ankara Esenboğa;True;Türkiye;TR;HAM
Antalya;AYT;Antalya;True;Türkiye;TR;HAM
Balıkesir-Edremit;EDO;Balıkesir - Edremit;True;Türkiye;TR;HAM
Batman;BAL;Batman;True;Türkiye;TR;HAM
Bingöl;BGG;Bingöl;True;Türkiye;TR;HAM
Dalaman;DLM;Dalaman;True;Türkiye;TR;HAM
Denizli;DNZ;Denizli;True;Türkiye;TR;HAM
